seed,source_q4_seed,draw_index,latent_ids,rank,R_matched,reader_coefficient,reader_cosine,signed_delta_mean_vs_source_A,source_bridge_results_sha256
20260814,20260806,0,"[784,1064,2619,2907,6863,11131,16664,17119,17701,17954,18821,22185]",12,0.414464450512995,0.0648761089987167,0.21076530912327,0.048277694384257,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,1,"[1064,2418,4546,5868,7263,8028,8617,11744,12325,12365,14388,21275]",12,0.0313088462387422,0.0830969928388597,0.2961722197679,0.00364692052205404,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,2,"[1064,2040,4546,5115,11414,12097,12289,13225,14388,15018,20311,22625]",12,0.0347387666385096,0.102794838485518,0.244353262762702,0.0040464448928833,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,3,"[821,1064,2907,6846,7263,7698,10892,12423,14542,17119,17373,17954]",12,0.026919988000689,0.0507111891751797,0.158509245300417,0.00313569704691569,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,4,"[5437,11952,12325,12494,13888,14388,14542,15096,16584,17270,20073,22625]",12,0.0235681198874388,0.0555831807767583,0.21521540212503,0.00274526437123617,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,5,"[1334,4224,5115,7195,10892,13231,13344,20311,20929,23164,23245,23608]",12,0.0187305974569583,0.00873618668741261,0.0312062469992689,0.00218177954355876,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,6,"[1638,3015,3019,4546,6846,12423,12494,13390,14127,14388,22248,24297]",12,0.0690604720733285,-0.110546217378686,-0.379640238786471,0.00804430961608887,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,7,"[3019,4083,6815,7195,8028,9450,9605,15707,16664,17119,20311,21566]",12,0.0363104695079737,-0.0100349063142349,-0.0514191851198471,0.00422952016194661,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,8,"[1334,1447,5868,6846,7698,7768,8028,8906,12289,15096,18061,20311]",12,0.0100657020131813,0.15806098186223,0.295805958413149,0.00117247422536214,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,9,"[5115,6589,7195,7768,8271,11740,11952,12494,15336,19959,21566,24201]",12,0.0278307708531148,0.0373533897466851,0.081500652289962,0.00324178695678711,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,10,"[1064,1334,1447,11288,11744,12365,12494,14260,14995,15707,16664,18649]",12,0.0141844201959582,0.045961632271551,0.117821633810509,0.00165223121643066,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,11,"[581,784,1064,3019,6846,11288,14784,15096,16637,17373,18821,20073]",12,0.494472328881551,0.0307636896364327,0.0400894177632069,0.057597181002299,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,12,"[875,2087,3019,7768,12365,12741,15018,15707,19014,20324,23139,23704]",12,0.0457854439799636,0.0139668631567464,0.0443281486745435,0.00533318519592285,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,13,"[1447,5868,7198,13231,14174,14697,17701,18053,20311,21234,22625,23164]",12,0.0196106233419347,0.0540360815854903,0.109971365070301,0.00228428681691488,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,14,"[581,875,3019,6886,11288,12494,12950,14388,14542,18061,18829,20311]",12,0.0274942590632896,0.0323899105942115,0.113044726630787,0.00320258935292562,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,15,"[7198,8906,9450,10043,10428,11131,12325,17954,21234,22185,23164,24297]",12,0.0388412193797605,0.0147640669972214,0.0423735016899694,0.00452430725097656,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,16,"[2619,3347,4083,4224,5909,8617,9605,10428,10471,12494,17119,17373]",12,0.00801064807850554,0.0525440435061114,0.126603704280141,0.000933097203572591,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,17,"[821,6815,6863,7796,12289,12325,13225,16628,18716,19192,20073,22185]",12,0.0224884193331256,0.0310992475334166,0.0687259223921276,0.00261949857076009,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,18,"[821,5336,6815,11414,12325,13344,15707,17270,18649,19959,20311,22185]",12,0.0277096806449761,0.11183218695683,0.258820377724927,0.00322768211364746,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,19,"[581,3015,4224,5909,10428,11131,11740,12325,18061,18649,19192,22900]",12,0.0175048081300135,0.0314387140151899,0.0925289986690088,0.00203899701436361,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,20,"[875,5336,5926,12365,14121,14260,14542,18053,19192,22625,23139,23704]",12,0.022776994465165,0.085473522670813,0.171377263725203,0.00265311241149902,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,21,"[875,3347,7195,9605,11744,11952,12022,14174,14388,21966,22900,23688]",12,0.0263274183163718,-0.0232082181531956,-0.0885605040038279,0.00306667327880859,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
20260814,20260806,22,"[2040,2619,8028,8605,10043,10471,13888,19014,21966,22185,23139,23164]",12,0.0271351776087967,0.0888527569523154,0.223621827993325,0.00316076278686523,9d844605de4d20ec5638bf793d21e8750ea606984d7229531fdc9910aa1e45ef
