seed,retained_pairs,gate_A_pass,E_all,q1_n,q1_recovery_fraction,q1_seed_joint_pass,q1_all_members_distinguishable,q2_complete_pairs,q2_true_right_E,q2_source_A_E,q2_source_A_abs_ratio,q2_source_A_pass,q2_source_B_E_descriptive,q2_source_C_E,q2_source_C_abs_ratio,q2_source_C_pass,q3_D_path,q3_D_path_ci95_low,q3_D_path_ci95_high,q3_F_path,q3_direct_recovery_descriptive,q3_direct_recovery_adjudicative,q3_positive
20260802,230,true,5.327597141,2,0.5284967806,true,true,230,2.815618038,-0.01458387263,0.005179634607,true,0.02963639982,-0.5278717279,0.1874798786,true,0.5489331401,0.5237765187,0.5753925908,-0.002555513289,0.1940524632,false,true
20260803,235,true,5.241276264,2,0.5326998237,true,true,235,2.792026997,-0.0006326847943,0.0002266041106,true,-0.0136798555,-0.5203633904,0.1863747704,true,0.5646730342,0.5390958978,0.5905417804,0.002581928158,0.2031695757,false,true
20260804,237,true,5.306693554,2,0.5252846985,true,true,237,2.787524939,-0.01283451077,0.004604267603,true,0.02132891864,-0.5267384648,0.1889627811,true,0.5624879905,0.5382358945,0.5875821747,-0.003661316587,0.2004741353,false,true
20260805,234,true,5.139303207,2,0.5371085888,true,true,234,2.760364056,0.006126462016,0.002219439861,true,0.01114216447,-0.5225217938,0.1892945218,true,0.5276886683,0.5044282957,0.5511356057,0.001068651211,0.1915534851,false,true
20260806,235,true,5.390608311,2,0.5270589257,true,true,235,2.841168165,0.003927895334,0.001382493082,true,-0.01659638435,-0.5119482875,0.180189365,true,0.5562777854,0.5326558707,0.580707342,-0.0003576501913,0.1956660524,false,true
20260807,235,true,5.332746506,2,0.5213951286,true,true,235,2.780468225,-0.009816393256,0.003530482084,true,0.002226689598,-0.5157566071,0.1854927175,true,0.5571799654,0.5344769093,0.5802209389,0.001962863607,0.2010966553,false,true
20260808,231,true,5.23168993,2,0.5274091244,true,true,231,2.759241104,-0.001958721085,0.0007098767417,true,0.01504759397,-0.5380524993,0.1950001754,true,0.5741488923,0.5461554493,0.6025114839,0.003834533505,0.2094718893,false,true
20260809,234,true,5.218687057,2,0.5462705498,true,true,234,2.850815058,-0.01116539072,0.003916560877,true,0.01316584647,-0.5388862491,0.189028835,true,0.5554157353,0.5317178872,0.5792443446,-0.002565330826,0.1939271354,false,true
