seed,source_q4_seed,l7_head,reader_head,target_latent_count,target_projector_rank,status,R_target,R_target_clamped,R_complement,R_matched_mean,R_matched_max,R_matched_second_largest,target_exceeds_matched_max,target_minus_matched_max,target_clamped_minus_target,target_reader_coefficient,target_reader_cosine,target_signed_delta_mean_vs_source_A,full_signed_delta_mean_vs_source_A,complement_signed_delta_mean_vs_source_A
20260814,20260806,L7H4,L8H5,12,12,COMPLETE,0.665289826151904,0.662649626894066,0.316403637738706,0.0714906755900262,0.494472328881551,0.439598555803455,true,0.170817497270353,-0.00264019925783832,0.027333009299576,0.0656332481605186,0.07749436378479,0.116482111612956,0.0368553638458252
20260815,20260807,L7H4,L8H5,12,12,COMPLETE,0.683543223294105,0.679906978347084,0.300655420936555,0.0889323197169109,0.515354360480803,0.503286691753694,true,0.168188862813301,-0.00363624494702086,0.106815100364867,0.272725196967071,0.0717352453867594,0.104946173032125,0.031552635828654
20260816,20260808,L7H4,L8H5,12,12,COMPLETE,0.680276679447878,0.674251185568572,0.303656710516604,0.079433347457518,0.50846457008211,0.461936610524993,true,0.171812109365768,-0.00602549387930584,0.103993715908838,0.263092282480765,0.0772282346089681,0.113524742126465,0.034472549756368
20260817,20260809,L7H4,L8H5,12,12,COMPLETE,0.677909485611925,0.676007910706705,0.304965084283639,0.0343412438644541,0.088293974575541,0.0777305001082303,true,0.589615511036384,-0.0019015749052198,0.0814515878655604,0.224323978491952,0.0797998507817586,0.117714610099792,0.0358988459904989
20260818,20260810,L7H4,L8H5,12,12,COMPLETE,0.678585088232353,0.678857976891392,0.306024894726078,0.0428468254836795,0.127268464934217,0.113399043412237,true,0.551316623298137,0.000272888659038628,0.124373609119603,0.333734155100838,0.0775849278767904,0.114333381652832,0.0349888610839844
20260819,20260811,L7H4,L8H5,12,12,COMPLETE,0.682040658189213,0.67401558982628,0.301589670100414,0.085827696077821,0.540043822537832,0.461089331782543,true,0.141996835651381,-0.00802506836293304,0.0813114793390052,0.187422136209232,0.0774897638956706,0.113614581425985,0.0342649841308594
20260820,20260812,L7H4,L8H5,12,12,COMPLETE,0.679208114081728,0.671475446579038,0.306111017478742,0.0660416640963355,0.509971092688235,0.491268254963418,true,0.169237021393493,-0.00773266750269075,0.108272728705631,0.269297135346702,0.076302342414856,0.112340151468913,0.0343885580698649
20260821,20260813,L7H4,L8H5,12,12,COMPLETE,0.682259075488767,0.675210273573439,0.30330818354009,0.0583634710930059,0.504187304958287,0.481387697485238,true,0.17807177053048,-0.00704880191532842,0.120490114583906,0.287412467405877,0.0760440905888875,0.11145925839742,0.0338065052032471
